Fecha,Qd_m3s
1970-01-01,194
1970-01-02,194
1970-01-03,192
1970-01-04,188
1970-01-05,188
1970-01-06,266
1970-01-07,408
1970-01-08,350
1970-01-09,323
1970-01-10,305
1970-01-11,318
1970-01-12,343
1970-01-13,350
1970-01-14,330
1970-01-15,318
1970-01-16,336
1970-01-17,343
1970-01-18,314
1970-01-19,303
1970-01-20,275
1970-01-21,268
1970-01-22,244
1970-01-23,268
1970-01-24,268
1970-01-25,272
1970-01-26,281
1970-01-27,277
1970-01-28,277
1970-01-29,268
1970-01-30,217
1970-01-31,155
1970-02-01,136
1970-02-02,130
1970-02-03,132
1970-02-04,140
1970-02-05,142
1970-02-06,157
1970-02-07,192
1970-02-08,240
1970-02-09,246
1970-02-10,213
1970-02-11,194
1970-02-12,147
1970-02-13,142
1970-02-14,142
1970-02-15,144
1970-02-16,128
1970-02-17,114
1970-02-18,106
1970-02-19,98
1970-02-20,88
1970-02-21,80
1970-02-22,74
1970-02-23,70
1970-02-24,86
1970-02-25,100
1970-02-26,90
1970-02-27,78
1970-02-28,68
1970-03-01,57.9
1970-03-02,52.8
1970-03-03,51.1
1970-03-04,46
1970-03-05,42.8
1970-03-06,39.6
1970-03-07,36.4
1970-03-08,33.2
1970-03-09,46
1970-03-10,57.9
1970-03-11,66.8
1970-03-12,72.5
1970-03-13,100
1970-03-14,163
1970-03-15,202
1970-03-16,217
1970-03-17,186
1970-03-18,151
1970-03-19,128
1970-03-20,108
1970-03-21,98
1970-03-22,86
1970-03-23,78.2
1970-03-24,72.5
1970-03-25,70.6
1970-03-26,68.7
1970-03-27,63
1970-03-28,66.8
1970-03-29,66.8
1970-03-30,59.6
1970-03-31,68.7
1970-04-01,32
1970-04-02,28
1970-04-03,24
1970-04-04,23
1970-04-05,21
1970-04-06,21
1970-04-07,23
1970-04-08,28
1970-04-09,27
1970-04-10,27
1970-04-11,28
1970-04-12,34
1970-04-13,39
1970-04-14,34
1970-04-15,29
1970-04-16,26
1970-04-17,25
1970-04-18,25
1970-04-19,24
1970-04-20,24
1970-04-21,22
1970-04-22,21
1970-04-23,20
1970-04-24,21
1970-04-25,21
1970-04-26,24
1970-04-27,31
1970-04-28,29
1970-04-29,31
1970-04-30,35
1970-05-01,32.7
1970-05-02,28.8
1970-05-03,27.2
1970-05-04,26.5
1970-05-05,24.9
1970-05-06,21.9
1970-05-07,20.5
1970-05-08,19.2
1970-05-09,17.8
1970-05-10,16.5
1970-05-11,16.5
1970-05-12,15.9
1970-05-13,15.3
1970-05-14,14.1
1970-05-15,13.6
1970-05-16,17.8
1970-05-17,20.5
1970-05-18,17.8
1970-05-19,16.5
1970-05-20,15.3
1970-05-21,14.1
1970-05-22,13.1
1970-05-23,12.5
1970-05-24,11.1
1970-05-25,10.7
1970-05-26,10.7
1970-05-27,10.3
1970-05-28,9.9
1970-05-29,9.5
1970-05-30,9.5
1970-05-31,9.2
1970-06-01,8.8
1970-06-02,8.1
1970-06-03,7.9
1970-06-04,7.3
1970-06-05,7
1970-06-06,7
1970-06-07,7
1970-06-08,7
1970-06-09,7
1970-06-10,6.8
1970-06-11,6.8
1970-06-12,6.5
1970-06-13,6.5
1970-06-14,6.3
1970-06-15,6.3
1970-06-16,6.3
1970-06-17,6.3
1970-06-18,6
1970-06-19,6
1970-06-20,6
1970-06-21,6
1970-06-22,5.8
1970-06-23,5.8
1970-06-24,5.8
1970-06-25,5.8
1970-06-26,5.8
1970-06-27,5.8
1970-06-28,5.8
1970-06-29,5.8
1970-06-30,5.8
1970-07-01,16.7
1970-07-02,16.4
1970-07-03,16.1
1970-07-04,16.1
1970-07-05,16
1970-07-06,15.8
1970-07-07,15.7
1970-07-08,15.8
1970-07-09,15.4
1970-07-10,15.2
1970-07-11,15.1
1970-07-12,15
1970-07-13,14.8
1970-07-14,14.7
1970-07-15,14.6
1970-07-16,14.2
1970-07-17,14.1
1970-07-18,14.1
1970-07-19,14.1
1970-07-20,14.1
1970-07-21,13.9
1970-07-22,13.9
1970-07-23,13.9
1970-07-24,13.8
1970-07-25,13.6
1970-07-26,13
1970-07-27,12.9
1970-07-28,12.7
1970-07-29,12.7
1970-07-30,12.7
1970-07-31,13
1970-08-01,12.5
1970-08-02,12
1970-08-03,12
1970-08-04,11.9
1970-08-05,11.3
1970-08-06,11.5
1970-08-07,11.5
1970-08-08,11.5
1970-08-09,11.4
1970-08-10,11.4
1970-08-11,11.4
1970-08-12,7.2
1970-08-13,7.2
1970-08-14,7.2
1970-08-15,7.2
1970-08-16,7.2
1970-08-17,7.2
1970-08-18,7.2
1970-08-19,7.2
1970-08-20,7.2
1970-08-21,7.2
1970-08-22,7.2
1970-08-23,7.2
1970-08-24,7.2
1970-08-25,7.2
1970-08-26,6.9
1970-08-27,6.9
1970-08-28,6.9
1970-08-29,6.9
1970-08-30,6.9
1970-08-31,6.9
1970-09-01,6.9
1970-09-02,6.9
1970-09-03,6.7
1970-09-04,6.7
1970-09-05,6.7
1970-09-06,6.7
1970-09-07,6.7
1970-09-08,6.7
1970-09-09,6.7
1970-09-10,6.7
1970-09-11,6.5
1970-09-12,6.5
1970-09-13,6.5
1970-09-14,7.2
1970-09-15,6.9
1970-09-16,8.9
1970-09-17,8.9
1970-09-18,8.9
1970-09-19,8.4
1970-09-20,8
1970-09-21,8
1970-09-22,8
1970-09-23,8
1970-09-24,13.3
1970-09-25,12.7
1970-09-26,12.1
1970-09-27,12.1
1970-09-28,12.1
1970-09-29,12.1
1970-09-30,12.1
1970-10-01,12
1970-10-02,11
1970-10-03,12
1970-10-04,12
1970-10-05,12
1970-10-06,12
1970-10-07,12
1970-10-08,12
1970-10-09,12
1970-10-10,12
1970-10-11,12
1970-10-12,12
1970-10-13,12
1970-10-14,12
1970-10-15,12
1970-10-16,12
1970-10-17,12
1970-10-18,13
1970-10-19,14
1970-10-20,14
1970-10-21,15
1970-10-22,15
1970-10-23,15
1970-10-24,15
1970-10-25,15
1970-10-26,15
1970-10-27,15
1970-10-28,15
1970-10-29,15
1970-10-30,15
1970-10-31,15
1970-11-01,15.7
1970-11-02,15.7
1970-11-03,15.7
1970-11-04,15.7
1970-11-05,16.3
1970-11-06,16.3
1970-11-07,16.3
1970-11-08,16.3
1970-11-09,16.3
1970-11-10,16.3
1970-11-11,16.3
1970-11-12,16.3
1970-11-13,16.3
1970-11-14,16.3
1970-11-15,15.7
1970-11-16,15.7
1970-11-17,15.7
1970-11-18,15.7
1970-11-19,15.7
1970-11-20,15.7
1970-11-21,15.7
1970-11-22,15.7
1970-11-23,15.7
1970-11-24,15.7
1970-11-25,15.7
1970-11-26,15.7
1970-11-27,15.7
1970-11-28,16.3
1970-11-29,16.3
1970-11-30,16.3
1970-12-01,16
1970-12-02,20
1970-12-03,28
1970-12-04,28
1970-12-05,29
1970-12-06,33
1970-12-07,39
1970-12-08,59
1970-12-09,56
1970-12-10,55
1970-12-11,53
1970-12-12,53
1970-12-13,57
1970-12-14,51
1970-12-15,28
1970-12-16,15
1970-12-17,15
1970-12-18,14
1970-12-19,15
1970-12-20,15
1970-12-21,14
1970-12-22,14
1970-12-23,13
1970-12-24,13
1970-12-25,20
1970-12-26,19
1970-12-27,29
1970-12-28,35
1970-12-29,33
1970-12-30,51
1970-12-31,53
