DatesR,P,E,Qmm
1971-01-01,689.5,953.2,30.3
1972-01-01,728.9,1009.5,30.8
1973-01-01,735.9,1011.3,44.2
1974-01-01,548.1,953.2,21.3
1975-01-01,714.1,963.1,33.4
1976-01-01,587.2,974.8,23.8
1977-01-01,579.1,1008.8,30.3
1978-01-01,376.6,1001.2,5.7
1979-01-01,582.7,999.8,12.5
1980-01-01,254,1010.1,1.4
1981-01-01,729.6,978.3,25.7
1982-01-01,400.3,986.4,8.9
1983-01-01,1215.6,1084.6,69.4
1984-01-01,750.2,1019.6,41.9
1985-01-01,359.7,990.2,9.3
1986-01-01,529.3,980.2,13
1987-01-01,610,1020.5,17.7
1988-01-01,492.8,1015.6,12.1
1989-01-01,642.5,987.2,27.5
1990-01-01,354.5,1002.8,5.3
1991-01-01,477,1015.2,7.1
1992-01-01,455.4,1066.8,9.4
1993-01-01,816.5,1041,25.7
1994-01-01,854.4,1015.1,26.3
1995-01-01,558.6,1021.8,10.5
1996-01-01,688.7,982.4,22.2
1997-01-01,463.3,1029.1,4.8
1998-01-01,1416.8,1087.1,132.3
1999-01-01,752.9,977.7,28.2
2000-01-01,754.2,976.5,45.3
2001-01-01,854.5,983.8,35
2002-01-01,659,1004,23.7
2003-01-01,551.9,1009.6,14.6
2004-01-01,434.9,1060.5,6.9
2005-01-01,565,1063.6,12
